part,table,insurer,year,hb_context,hb_metric,hb_value,status,iris_metric,iris_lob,iris_cob,iris_value,ratio
Part I,2,Life Insurance Corporation of India,2015-16,,2015-16,266444.2056,ok,total_premium__inr,Life,All Classes,,
Part I,2,Life Insurance Corporation of India,2016-17,,2016-17,300487.3598,ok,total_premium__inr,Life,All Classes,,
Part I,2,Life Insurance Corporation of India,2017-18,,2017-18,318223.2056,ok,total_premium__inr,Life,All Classes,,
Part I,2,Life Insurance Corporation of India,2018-19,,2018-19,337505.0711,ok,total_premium__inr,Life,All Classes,,
Part I,2,Life Insurance Corporation of India,2019-20,,2019-20,379389.599,ok,total_premium__inr,Life,All Classes,,
Part I,2,Life Insurance Corporation of India,2020-21,,2020-21,403286.5548,ok,total_premium__inr,Life,All Classes,,
Part I,2,Life Insurance Corporation of India,2021-22,,2021-22,428024.9715,ok,total_premium__inr,Life,All Classes,,
Part I,2,Life Insurance Corporation of India,2022-23,,2022-23,474668.1363,ok,total_premium__inr,Life,All Classes,,
Part I,2,Life Insurance Corporation of India,2023-24,,2023-24,475751.92,ok,total_premium__inr,Life,All Classes,,
Part I,2,Life Insurance Corporation of India,2024-25,,2024-25,488848.92,ok,total_premium__inr,Life,All Classes,,
Part I,2,Acko Life Insurance Ltd.,2015-16,,2015-16,0.0,missing_zero,,,,,
Part I,2,Acko Life Insurance Ltd.,2016-17,,2016-17,0.0,missing_zero,,,,,
Part I,2,Acko Life Insurance Ltd.,2017-18,,2017-18,0.0,missing_zero,,,,,
Part I,2,Acko Life Insurance Ltd.,2018-19,,2018-19,0.0,missing_zero,,,,,
Part I,2,Acko Life Insurance Ltd.,2019-20,,2019-20,0.0,missing_zero,,,,,
Part I,2,Acko Life Insurance Ltd.,2020-21,,2020-21,0.0,missing_zero,,,,,
Part I,2,Acko Life Insurance Ltd.,2021-22,,2021-22,0.0,missing_zero,,,,,
Part I,2,Acko Life Insurance Ltd.,2022-23,,2022-23,0.0,missing_zero,,,,,
Part I,2,Acko Life Insurance Ltd.,2023-24,,2023-24,36.519222276,ok,total_premium__inr,Life,All Classes,,
Part I,2,Acko Life Insurance Ltd.,2024-25,,2024-25,64.05,ok,total_premium__inr,Life,All Classes,,
Part I,2,Ageas Federal Life Insurance Company Ltd.,2015-16,,2015-16,1239.6657,ok,total_premium__inr,Life,All Classes,,
Part I,2,Ageas Federal Life Insurance Company Ltd.,2016-17,,2016-17,1565.1863082,ok,total_premium__inr,Life,All Classes,,
Part I,2,Ageas Federal Life Insurance Company Ltd.,2017-18,,2017-18,1783.2406999999998,ok,total_premium__inr,Life,All Classes,,
Part I,2,Ageas Federal Life Insurance Company Ltd.,2018-19,,2018-19,1932.5167000000001,ok,total_premium__inr,Life,All Classes,,
Part I,2,Ageas Federal Life Insurance Company Ltd.,2019-20,,2019-20,1842.5144999999998,ok,total_premium__inr,Life,All Classes,,
Part I,2,Ageas Federal Life Insurance Company Ltd.,2020-21,,2020-21,1958.6374,ok,total_premium__inr,Life,All Classes,,
Part I,2,Ageas Federal Life Insurance Company Ltd.,2021-22,,2021-22,2207.3009793,ok,total_premium__inr,Life,All Classes,,
Part I,2,Ageas Federal Life Insurance Company Ltd.,2022-23,,2022-23,2288.9969,ok,total_premium__inr,Life,All Classes,,
Part I,2,Ageas Federal Life Insurance Company Ltd.,2023-24,,2023-24,2697.3679732,ok,total_premium__inr,Life,All Classes,,
