decision,metric_id,rows,parent,proposed,lob,handbook,collides
,a_balance_at_the_beginning_of_the_year__inr,235,APPROPRIATIONS,appropriations_balance_at_the_beginning_of_the_year__inr,Shareholders Account,(a) Balance at the beginning of the year (₹L,
,a_expenses_other_than_those_related_to_insurance_business__inr,423,OTHER EXPENSES,other_expenses_expenses_other_than_those_related_to_insurance_business,Shareholders Account,(a) Expenses other than those related to Ins,
,a_fire_insurance__inr,427,OPERATING PROFIT/(LOSS),operating_profit_fire_insurance__inr,Shareholders Account,(a) Fire Insurance (₹Crore),
,a_for_diminution_in_the_value_of_investments__inr,377,PROVISIONS (Other than taxation),provisions_for_diminution_in_the_value_of_investments__inr,Shareholders Account,(a) For diminution in the value of investmen,
,a_for_diminution_in_the_value_of_investments_net__inr,321,PROVISIONS (Other than taxation),provisions_for_diminution_in_the_value_of_investments_net__inr,Policyholders Accoun / Shareholders Account,(a) For diminution in the value of investmen,
,a_gross__inr,241,Change in valuation of liability in respect ,change_in_valuation_of_liability_in_respect_of_life_policies_gross__in,Policyholders Accoun,(a) Gross (₹Lakh),
,a_interim_dividends_paid_during_the_year__inr,331,APPROPRIATIONS,appropriations_interim_dividends_paid_during_the_year__inr,Shareholders Account,(a) Interim dividends paid during the year (,YES
,a_premium__inr,241,Premiums earned – net,premiums_earned_net_premium__inr,Policyholders Accoun,(a) Premium (₹Lakh),
,b_amount_ceded_in_reinsurance__inr,187,Change in valuation of liability in respect ,change_in_valuation_of_liability_in_respect_of_life_policies_amount_ce,Policyholders Accoun,(b) Amount ceded in Reinsurance (₹Lakh),
,b_bad_debts_written_off__inr,366,OTHER EXPENSES,other_expenses_bad_debts_written_off__inr,Shareholders Account,(b) Bad debts written off (₹Crore),
,b_for_doubtful_debts__inr,378,PROVISIONS (Other than taxation),provisions_for_doubtful_debts__inr,Shareholders Account,(b) For doubtful debts (₹Crore),
,b_interim_dividends_paid_during_the_year__inr,135,APPROPRIATIONS,appropriations_interim_dividends_paid_during_the_year__inr,Shareholders Account,(b) Interim dividends paid during the year (,YES
,b_marine_insurance__inr,425,OPERATING PROFIT/(LOSS),operating_profit_marine_insurance__inr,Shareholders Account,(b) Marine Insurance (₹Crore),
,b_profit_on_sale_of_investments__inr,396,INCOME FROM INVESTMENTS,income_from_investments_profit_on_sale_of_investments__inr,Shareholders Account,(b) Profit on sale of investments (₹Crore),
,b_profit_on_sale_redemption_of_investments__inr,479,Income from Investments,income_from_investments_profit_on_sale_redemption_of_investments__inr,Policyholders Accoun / Shareholders Account,(b) Profit on sale/redemption of investments,
,b_proposed_final_dividend__inr,332,APPROPRIATIONS,appropriations_proposed_final_dividend__inr,Shareholders Account,(b) Proposed final dividend (₹Crore),
,b_provision_for_doubtful_debts__inr,157,Provisions (Other than taxation),provisions_provision_for_doubtful_debts__inr,Shareholders Account,(b) Provision for doubtful debts (₹Lakh),
,b_reinsurance_ceded__inr,240,Premiums earned – net,premiums_earned_net_reinsurance_ceded__inr,Policyholders Accoun,(b) Reinsurance ceded (₹Lakh),
,c_amount_accepted_in_reinsurance__inr,5,Income from Investments,income_from_investments_amount_accepted_in_reinsurance__inr,Policyholders Accoun,(c) Amount accepted in Reinsurance (₹Lakh),
,c_dividend_distribution_tax__inr,288,Income from Investments,income_from_investments_dividend_distribution_tax__inr,Shareholders Account,(c) Dividend distribution tax (₹Crore),
,c_life_insurance__inr,102,Income from Investments,income_from_investments_life_insurance__inr,Shareholders Account,(c ) Life Insurance (₹Crore),
,c_loss_on_sale_redemption_of_investments__inr,430,Income from Investments,income_from_investments_loss_on_sale_redemption_of_investments__inr,Policyholders Accoun / Shareholders Account,(c) (Loss on sale/ redemption of investments,
,c_miscellaneous_insurance__inr,327,Income from Investments,income_from_investments_miscellaneous_insurance__inr,Shareholders Account,(c ) Miscellaneous Insurance (₹Crore),
,c_proposed_final_dividend__inr,168,Income from Investments,income_from_investments_proposed_final_dividend__inr,Shareholders Account,(c) Proposed final dividend (₹Lakh),
,c_reinsurance_accepted__inr,5,Premiums earned – net,premiums_earned_net_reinsurance_accepted__inr,Policyholders Accoun,(c) Reinsurance accepted (₹Lakh),
,d_dividend_distribution_tax__inr,131,APPROPRIATIONS,appropriations_dividend_distribution_tax__inr,Shareholders Account,(d) Dividend distribution tax (₹Lakh),
,d_miscellaneous_insurance__inr,106,(c ) Life Insurance,life_insurance_miscellaneous_insurance__inr,Shareholders Account,(d) Miscellaneous Insurance (₹Crore),
,d_transfer_gain_on_revaluation_change_in_fair_value__inr,235,Income from Investments,income_from_investments_transfer_gain_on_revaluation_change_in_fair_va,Policyholders Accoun / Shareholders Account,(d) Transfer/Gain on revaluation/change in f,
,d_transfer_to_any_reserves_or_other_accounts__inr,338,APPROPRIATIONS,appropriations_transfer_to_any_reserves_or_other_accounts__inr,Shareholders Account,(d) Transfer to any Reserves or Other Accoun,
,d_transfer_to_linked_fund_fund_reserve__inr,137,Change in valuation of liability in respect ,change_in_valuation_of_liability_in_respect_of_life_policies_transfer_,Policyholders Accoun,(d) Transfer to Linked Fund (Fund Reserve) (,
,e_amortization_of_premium_discount_on_investments__inr,255,Income from Investments,income_from_investments_amortization_of_premium_discount_on_investment,Policyholders Accoun / Shareholders Account,(e) Amortization of Premium/Discount on Inve,
,e_fund_for_discontinued_policies__inr,124,Change in valuation of liability in respect ,change_in_valuation_of_liability_in_respect_of_life_policies_fund_for_,Policyholders Accoun,(e) Fund for discontinued policies (₹Lakh),
,e_transfer_to_reserves_other_accounts__inr,146,APPROPRIATIONS,appropriations_transfer_to_reserves_other_accounts__inr,Shareholders Account,(e) Transfer to reserves/ other accounts (₹L,
,f_adjustment_on_account_of_depreciation_in_py__inr,3,APPROPRIATIONS,appropriations_adjustment_on_account_of_depreciation_in_py__inr,Shareholders Account,(f) Adjustment on account of depreciation in,
